avg_ti,avg_si,max_si,max_ti,min_si,min_ti,std_si,std_ti,blur_avg,blur_min,blur_max,blur_std,bitrate,width,height,MSCN_mean,MSCN_std,train__mos
40.795,60.386,93.294,53.156,33.686,28.947,14.221,4.622,14.39407981,4.070788703,69.01150314,11.76099432,101870043,720,1280,1.293989333,0.406864667,4.6552
40.727,60.085,93.157,53.104,33.331,28.889,14.214,4.624,13.99186275,3.948163407,68.98888441,11.08599032,12541643,720,1280,1.295524,0.402185333,4.3793
40.63,59.6,93.082,53.035,32.815,28.802,14.232,4.622,13.41408894,3.731166218,67.45135937,10.64862223,6876293,720,1280,1.294845333,0.404286667,4.5172
40.434,58.518,92.741,52.846,32.12,28.703,14.198,4.613,12.51092215,3.503389965,63.62418029,10.02208592,3654494,720,1280,1.295742,0.401512667,4.1034
39.999,56.558,91.83,52.525,31.027,28.507,14.025,4.586,11.18605116,3.238184311,54.35875535,8.876915269,1915182,720,1280,1.29506,0.403682667,3.4828
39.01,52.966,88.873,51.782,29.229,28.092,13.298,4.625,9.172817971,3.028308417,40.5035785,6.683307431,1027853,720,1280,1.295956,0.400880667,2.5862
36.81,46.778,77.322,50.158,27.301,26.298,10.861,4.963,6.593505942,2.914716732,22.64175513,3.569194634,591747,720,1280,1.295265333,0.403098667,1.4483
32.932,39.615,50.602,47.591,25.885,17.906,6.045,5.946,4.733111853,2.884440487,6.823935585,1.048683214,393094,720,1280,1.296162,0.400266,1.0345
30.781,97.428,103.507,39.038,75.398,19.98,5.442,3.864,103.8992891,38.60149805,122.516796,19.14824241,114049393,720,1280,1.294217333,0.405760667,4.5278
30.513,97.033,103.315,38.904,75.424,19.52,5.411,3.934,95.71988965,36.09716111,119.6596326,18.10503129,13599188,720,1280,1.295754,0.401067333,4.6389
30.35,96.718,103.135,38.828,75.207,19.389,5.431,3.972,91.44633219,35.36646427,116.8838019,17.18337052,6782499,720,1280,1.295068667,0.40318,4.4722
30.164,96.543,102.388,38.672,74.895,19.153,5.467,4.017,85.29367344,34.23797945,114.8329519,15.30799476,3252264,720,1280,1.295972,0.400400667,4.1944
29.621,95.689,101.168,38.118,74.463,18.401,5.292,4.134,73.86046703,31.68578614,107.4097859,12.4587236,1522816,720,1280,1.295284,0.402569333,4
28.19,93.079,98.435,37.2,72.926,16.738,5.007,4.323,58.21300197,27.52928949,86.38850058,9.084037369,746806,720,1280,1.296180667,0.399756,2.6667
22.412,79.593,87.81,32.352,65.755,13.091,4.41,4.504,30.22962366,19.10854414,45.18121945,3.848536111,398457,720,1280,1.295488,0.401993333,1.5556
13.599,50.879,59.771,26.324,44.927,4.44,3.618,4.447,9.080444883,7.27413203,11.43420353,0.926133581,197735,720,1280,1.296385333,0.399148667,1.1389
11.493,29.65,34.683,20.098,24.3,2.846,2.778,4.29,3.20002356,2.332210325,4.85417915,0.728627053,59850528,720,1280,1.294317333,0.405258,4.4412
11.45,29.445,34.259,20.064,24.447,2.801,2.744,4.313,3.046753863,2.278378728,4.457399632,0.626537971,2849662,720,1280,1.295854667,0.400556667,4.5
11.414,29.366,34.031,20.073,24.459,2.752,2.688,4.335,2.91332261,2.245313,4.033805696,0.541252959,1229026,720,1280,1.295169333,0.402676667,4.3235
11.292,28.846,33.131,19.965,23.819,2.616,2.541,4.373,2.685251452,2.132801258,3.428301177,0.396275763,612975,720,1280,1.296072,0.399894667,4.1471
11.054,27.859,31.594,19.478,23.003,2.422,2.394,4.397,2.441991237,1.965210003,2.967446336,0.247413615,365568,720,1280,1.295384667,0.402059333,3.5588
10.627,26.437,29.905,18.458,21.941,1.873,2.23,4.333,2.22170945,1.88987831,2.609901363,0.1429886,243070,720,1280,1.296281333,0.399251333,2.6765
9.777,24.327,28.423,17.257,19.914,1.556,2.278,4.166,2.045430104,1.754870671,2.299820284,0.104447279,160479,720,1280,1.29559,0.401488667,1.7059
7.962,21.115,25.485,15.138,15.92,1.623,2.693,3.437,1.749610421,1.443731338,2.078208456,0.141541115,99347,720,1280,1.296485333,0.398635333,1.1765
12.614,54.004,63.757,25.402,46.167,3.727,3.823,4.564,11.70732611,7.6997907,23.40571169,2.46132639,71074255,720,1280,1.294408667,0.404797333,4.2941
12.544,53.9,63.579,25.337,46.036,3.597,3.803,4.578,11.33601911,7.515189309,21.14686959,2.354789407,9246353,720,1280,1.295945333,0.400088667,4.2941
12.396,53.644,63.226,25.27,45.673,3.272,3.787,4.619,10.44324187,6.996682596,17.47735865,2.122930709,4568775,720,1280,1.295264667,0.4022,4.1471
12.099,52.965,62.194,25.12,44.813,2.696,3.713,4.688,8.994922696,6.09910477,14.33932861,1.560412632,1721831,720,1280,1.296164,0.399414667,4.2941
11.668,51.41,59.661,24.761,42.553,2.288,3.554,4.72,7.535307807,4.896676511,11.18947828,1.112345558,699339,720,1280,1.295474,0.401596,3.4706
11.033,48.272,55.583,24.337,39.4,1.774,3.263,4.705,6.045602544,3.91331262,8.638818214,0.793003175,388409,720,1280,1.296376,0.398773333,2.2059
10.052,43.342,48.69,23.692,35.503,2.034,2.803,4.594,4.612436762,3.297948072,6.335123276,0.508666195,242509,720,1280,1.295682,0.401009333,1.5882
8.457,35.475,39.174,21.632,28.98,1.84,2.17,4.261,3.225823997,2.649691555,4.012607515,0.32210925,148916,720,1280,1.296578667,0.398160667,1.0882
18.283,70.233,79.611,53.292,63.611,6.352,3.308,6.623,18.89966619,15.94860236,23.74983244,1.800056542,71364585,1280,720,1.29441,0.402985333,4.3548
18.229,70.083,79.463,53.287,63.64,6.279,3.3,6.626,18.59954956,15.80697189,23.45052895,1.783086312,8679211,1280,720,1.295945333,0.398259333,4.3226
18.156,69.852,79.276,53.281,63.495,6.228,3.289,6.628,18.1323794,15.34937618,23.4720771,1.768346346,4703162,1280,720,1.295264667,0.400380667,4.2903
18.007,69.209,78.745,53.212,63.008,6.151,3.321,6.638,17.2187045,14.3740582,23.17896298,1.767028612,2492296,1280,720,1.296164667,0.397578667,4.2258
17.661,67.662,77.635,53.131,61.734,5.988,3.35,6.662,15.7363739,12.81373403,22.00541701,1.751655397,1349249,1280,720,1.295474,0.399765333,3.8065
16.853,64.549,75.259,52.904,58.279,5.401,3.406,6.689,13.51464439,10.76892272,19.99474009,1.688579126,770177,1280,720,1.296377333,0.396938667,2.9677
14.992,58.758,71.489,52.285,53.554,4.386,3.411,6.669,10.57040811,8.914851304,16.12012662,1.256956667,463418,1280,720,1.295684,0.399184667,1.6452
12.168,48.982,62.807,50.643,43.784,2.868,3.672,6.356,7.381943426,6.131829658,11.59979519,1.152661529,276133,1280,720,1.296579333,0.396324,1.0323
37.593,120.518,125.199,46.955,114.674,9.108,2.515,8.907,91.87558493,68.5533036,113.8928647,10.53260127,118427514,1280,720,1.294476,0.402577333,4.6571
37.434,120.196,124.607,46.775,114.376,8.982,2.464,8.971,86.52854383,63.71634131,111.5375487,10.04482978,12925412,1280,720,1.29601,0.397842667,4.6
37.256,119.769,124.356,46.552,113.74,8.97,2.458,8.974,83.52441142,61.22765858,106.8189844,9.677595071,6798626,1280,720,1.295338,0.399964667,4.6
36.99,119.156,123.65,46.208,112.576,8.926,2.526,8.978,79.43598242,58.38504955,97.03923545,8.763798848,3517845,1280,720,1.296228,0.397171333,4.3429
36.491,117.601,121.748,45.848,110.409,8.745,2.581,8.985,73.33902946,54.93509265,86.77514934,7.219009041,1803046,1280,720,1.295546,0.399357333,3.8
35.39,114.123,118.04,44.962,106.448,8.28,2.531,8.906,64.49534309,49.58632736,76.21746937,5.681741323,909811,1280,720,1.296441333,0.396526,2.8571
32.064,105.234,109.52,41.648,97.807,7.471,2.53,8.359,48.50312141,38.96770076,56.72190354,4.317153203,469632,1280,720,1.295754667,0.398767333,2.0857
22.854,77.153,81.926,31.926,70.126,4.854,2.769,6.666,22.07484454,17.30346748,27.60586126,2.268841501,285691,1280,720,1.296648,0.395911333,1.2286
17.66,98.064,105.768,65.035,90.592,0.353,4.295,15.052,38.09275229,31.25712152,48.88606605,4.303867689,46271314,1280,720,1.294537333,0.402196,4.5278
17.59,97.982,105.68,64.981,90.529,0.268,4.296,15.08,37.91495336,31.04261225,48.7085747,4.285961579,6868839,1280,720,1.296077333,0.397461333,4.5556
17.502,97.854,105.605,64.944,90.262,0.245,4.309,15.092,37.23270465,29.98669708,47.92405286,4.255126422,4038379,1280,720,1.295390667,0.399589333,4.4722
17.389,97.215,105.1,64.85,89.675,0.257,4.331,15.036,35.5304067,28.48058194,44.52726817,4.087448438,2192669,1280,720,1.296289333,0.396781333,4.5
17.202,95.597,103.333,64.615,88.119,0.38,4.323,14.848,32.49604462,26.21631769,39.85186297,3.892615786,1176613,1280,720,1.295602667,0.398972667,4.1667
16.756,91.912,99.173,64.318,84.425,0.556,4.24,14.469,27.8915976,22.03645132,33.75906569,3.551534426,648789,1280,720,1.296499333,0.396142667,2.9722
15.714,85.195,92.256,63.256,77.764,0.986,4.297,13.724,21.92917595,16.99206563,26.35052397,2.956662378,377833,1280,720,1.295812,0.398393333,1.8333
13.81,72.373,79.346,61.218,65.479,1.694,4.141,12.507,14.63915353,11.45501535,17.92502476,2.104217975,226324,1280,720,1.296705333,0.395522,1.0278
30.419,63.896,80.297,69.626,47.285,9.633,7.982,12.395,12.98285925,6.314599794,20.0491462,3.970109164,62260079,720,1280,1.29469,0.403232,4.3824
30.359,63.525,79.868,69.59,47.04,9.552,7.966,12.41,12.69578231,6.366672373,19.75031746,3.849263531,7789161,720,1280,1.296222667,0.398509333,4.4706
30.288,63.042,79.676,69.547,46.86,9.462,7.925,12.429,12.26197201,6.268917385,19.37096949,3.684058087,4172688,720,1280,1.295546,0.400632,4.4118
30.153,61.988,78.852,69.493,46.185,9.294,7.836,12.463,11.52755747,6.087533842,18.43960571,3.427463024,2289628,720,1280,1.296444667,0.397834667,3.9706
29.866,59.806,76.149,69.356,44.855,8.815,7.544,12.533,10.27692664,5.712378621,16.90788234,2.920923748,1324123,720,1280,1.29576,0.400023333,3.0294
29.223,55.945,71.304,69.151,43.025,8.071,6.861,12.643,8.585628347,5.139192932,14.21697001,2.256636083,810958,720,1280,1.296658667,0.397188667,2.3529
27.692,49.261,62.625,68.537,39.366,7.12,5.771,12.794,6.557965055,3.736795139,10.76255683,1.583115319,510000,720,1280,1.295968,0.399436,1.4412
24.778,40.347,55.262,66.997,29.514,6.539,4.916,12.872,4.751401634,2.301179286,8.912841041,1.140752323,325408,720,1280,1.296862,0.396570667,1.0294
3.968,24.858,26.13,13.925,23.885,0.437,0.631,2.407,1.892364383,1.804241104,1.971718269,0.035305489,35510767,720,1280,1.294035333,0.407336667,4.2368
3.94,24.698,26.032,13.906,23.716,0.324,0.643,2.42,1.876908443,1.788118653,1.945196094,0.030712538,2219319,720,1280,1.295576,0.402669333,4.1579
3.907,24.419,25.684,13.909,23.518,0.332,0.631,2.423,1.840788411,1.751071134,1.90213411,0.028728558,1087328,720,1280,1.294892,0.404770667,4.1316
3.862,24.043,25.251,13.848,23.123,0.344,0.584,2.418,1.775582058,1.723263026,1.823639409,0.02135021,576471,720,1280,1.295789333,0.402002667,4.1842
3.787,22.917,24.256,13.752,21.996,0.437,0.593,2.392,1.557632228,1.453872723,1.641488003,0.034610139,342075,720,1280,1.295102667,0.404166667,3.7895
3.675,22.142,23.082,13.491,21.251,0.604,0.396,2.308,1.551131589,1.485729047,1.631360907,0.030536772,211729,720,1280,1.295998,0.401368,3.0789
3.448,20.147,21.65,12.998,18.862,0.833,0.644,2.104,1.426300499,1.311774225,1.481805315,0.029642275,131412,720,1280,1.29531,0.403588,2
3.019,18.134,19.952,11.392,16.722,0.819,0.788,1.699,1.382337997,1.231080992,1.48029099,0.048185372,80693,720,1280,1.296203333,0.400751333,1.3158
17.217,50.184,57.921,74.901,36.256,0.105,5.225,17.178,5.891397355,3.735069488,7.418485314,0.947279123,48769230,720,1280,1.294158667,0.40673,4.5806
17.153,49.923,57.54,74.882,36.085,0.129,5.209,17.217,5.844786867,3.681189729,7.436580763,0.937649449,4298351,720,1280,1.295694667,0.402047333,4.5484
17.142,49.711,57.116,74.865,35.91,0.158,5.219,17.205,5.779279117,3.60351661,7.347773202,0.946913497,2334149,720,1280,1.29502,0.404149333,4.5806
17.134,49.109,56.07,74.812,35.082,0.292,5.177,17.175,5.643614095,3.497258041,7.180935768,0.941994128,1323193,720,1280,1.295913333,0.401384,4.5161
17.101,48.014,54.395,74.771,33.988,0.233,5.062,17.123,5.445680107,3.365447278,7.219342979,0.941281977,789461,720,1280,1.295236667,0.403546,4.4194
17.101,46.289,52.759,74.756,32.164,0.272,5.013,16.956,5.159312797,3.139025394,7.332729769,0.949636051,495285,720,1280,1.296125333,0.400745333,3.5806
16.92,43.288,50.113,74.523,30.148,0.834,4.761,16.647,4.608949855,2.74722716,6.72303788,0.84708868,316448,720,1280,1.295441333,0.402968667,2.5484
16.317,38.025,46.133,74.094,27.857,1.339,4.142,16.249,3.820406235,2.528805531,5.297579336,0.55167749,201110,720,1280,1.29633,0.400128667,1.4516
28.078,61.124,68.474,45.037,47.453,0.616,3.833,7.661,9.273636293,4.002791237,13.64556018,1.833822717,52021198,720,1280,1.294278667,0.406147333,4.2571
28.025,60.794,68.127,44.985,47.284,0.411,3.81,7.681,9.03186253,4.029185018,13.48968989,1.747125862,5006924,720,1280,1.295815333,0.401462,4.0857
27.968,60.406,67.739,44.925,47.3,0.37,3.763,7.689,8.79071076,4.029635766,13.02263832,1.648755509,2584303,720,1280,1.295140667,0.40357,4.1143
27.861,59.542,66.579,44.845,47.826,0.365,3.609,7.697,8.31707306,4.025216117,11.90070463,1.456425274,1385488,720,1280,1.296033333,0.400794667,3.9429
27.595,57.633,63.908,44.649,47.205,0.38,3.25,7.716,7.510544579,4.047302031,10.26506301,1.169492133,791443,720,1280,1.29535,0.402960667,3.2571
27.011,54.325,59.471,44.259,45.495,0.465,2.736,7.73,6.485048151,3.893156274,8.331608836,0.870678462,499132,720,1280,1.296247333,0.400154667,2.6286
25.751,48.801,52.207,43.314,43.044,1.032,1.931,7.805,5.206082212,3.789902602,5.961667674,0.482022263,331032,720,1280,1.295559333,0.40239,1.7714
23.221,41.329,44.307,41.499,37.586,2.832,1.473,7.86,3.954734194,3.076108097,4.628055452,0.318448045,204867,720,1280,1.296456667,0.399544667,1.0286
7.473,39.488,51.703,41.436,29.393,0.192,9.066,3.882,3.30980043,2.2473493,4.462617836,0.818272236,50256941,720,1280,1.294389333,0.405604,4.4516
7.432,39.279,51.589,41.414,29.388,0.159,9.094,3.885,3.302607545,2.2772011,4.503773703,0.82154609,2392164,720,1280,1.295925333,0.400905333,4.4839
7.389,39.093,51.468,41.41,29.379,0.201,9.116,3.886,3.268982744,2.265373671,4.464625799,0.823326932,1122626,720,1280,1.295246667,0.403016667,4.5161
7.298,38.547,51.165,41.361,29.213,0.12,9.216,3.882,3.205743539,2.244404998,4.408339157,0.829260142,594175,720,1280,1.296144667,0.400245333,4.4194
7.124,37.472,50.529,41.288,28.71,0.195,9.479,3.872,3.112441353,2.195886321,4.385910791,0.84284977,356990,720,1280,1.295461333,0.402407333,3.871
6.826,35.878,49.309,41.148,27.437,0.478,9.71,3.856,3.012902818,2.077528604,4.432155799,0.89504726,232730,720,1280,1.296358667,0.399598667,2.871
6.241,33.362,48.26,40.545,23.086,0.943,10.299,3.808,2.755334792,1.957491594,4.263584416,0.794867152,151112,720,1280,1.295669333,0.401832667,2
5.196,29.682,45.243,38.647,18.64,1.884,10.554,3.532,2.590323792,1.780132493,4.089433024,0.814052138,91925,720,1280,1.296563333,0.398988667,1.3226
15.807,66.486,75.173,33.86,61.418,0.316,2.965,5.601,10.81037788,8.906425603,13.57774759,1.002075675,57187201,1280,720,1.294418667,0.403726,4.5278
15.756,66.373,75.043,33.813,61.361,0.253,2.971,5.602,10.77451921,8.929551921,13.54492541,1.014054607,6150623,1280,720,1.295958,0.399008667,4.4722
15.689,66.119,74.683,33.727,61.127,0.31,2.986,5.6,10.55615756,8.754145313,13.3306205,0.996994927,3353432,1280,720,1.295272,0.401129333,4.2222
15.556,65.412,73.839,33.592,60.559,0.343,2.955,5.585,10.23988513,8.562370191,13.08559299,0.967717104,1871661,1280,720,1.296174667,0.398338667,4.2222
15.297,64.101,72.545,33.438,59.221,0.503,2.932,5.553,9.851622023,8.193012176,12.66706983,0.942420845,1086184,1280,720,1.295486,0.400519333,3.8333
14.772,61.615,70.455,32.766,57.146,0.61,2.873,5.494,9.243487076,7.810660041,12.40916453,0.924453357,660573,1280,720,1.296383333,0.397693333,2.7778
13.481,57.437,65.099,31.971,53.366,1.023,2.52,5.356,8.156315031,7.077956917,10.72561055,0.741191601,409138,1280,720,1.295692,0.399934667,1.6944
11.027,48.346,54.849,29.744,44.393,1.762,2.004,4.963,6.32023016,5.549652941,8.177155564,0.45513182,241660,1280,720,1.296586,0.397074667,1.1667
15.851,44.435,52.896,35.99,25.594,1.399,8.443,8.947,3.492829479,1.394829643,5.146583637,1.318079819,39875390,720,1280,1.294664667,0.404161333,4.5625
15.811,44.239,52.773,35.959,25.536,1.392,8.416,8.949,3.433498667,1.411411364,5.097676872,1.2675595,3783617,720,1280,1.2962,0.399452667,4.4062
15.771,44.079,52.597,35.919,25.537,1.323,8.399,8.949,3.374963484,1.389759158,4.978943989,1.236693239,1811112,720,1280,1.295522,0.401566,4.4688
15.681,43.643,51.923,35.826,25.403,1.234,8.249,8.951,3.267961077,1.371288171,4.684512894,1.149655865,929120,720,1280,1.296416667,0.398779333,4.3125
15.494,42.666,50.681,35.816,25.239,1.241,7.849,8.972,3.132169424,1.39922327,4.473264627,1.005727821,533498,720,1280,1.295736667,0.400956667,3.9688
15.133,41.105,49.248,35.592,24.972,1.257,7.337,8.919,2.976693975,1.43206292,4.53502318,0.831078385,333984,720,1280,1.296628,0.398138667,3.0938
14.44,38.673,46.848,34.994,24.631,1.566,6.386,8.799,2.788776451,1.547078556,4.090067194,0.58604709,220652,720,1280,1.295943333,0.400377333,2.0938
12.781,33.643,40.296,33.778,23.908,1.366,4.114,8.631,2.473832185,1.80225204,3.072952469,0.262201054,141629,720,1280,1.296834,0.397520667,1.4062
7.714,79.313,80.769,15.797,77.166,2.817,0.789,3.249,19.44060759,16.69355687,22.1129814,1.025368331,63683385,1280,720,1.294648,0.402364667,4.5143
7.589,79.055,80.68,15.727,76.892,2.581,0.79,3.276,18.69111734,15.91404546,20.82684737,0.988259031,6119870,1280,720,1.296186,0.397633333,4.5143
7.463,78.873,80.598,15.663,76.579,2.33,0.807,3.31,18.04995163,15.39349368,20.01944189,0.964215617,2606016,1280,720,1.2955,0.399760667,4.4571
7.286,78.452,80.055,15.554,76.286,1.937,0.789,3.365,17.06928561,14.76788471,18.78621674,0.868964821,972806,1280,720,1.2964,0.396959333,4.4571
7.032,76.916,79.016,15.443,74.56,1.53,0.811,3.377,15.265807,13.33270394,18.08013388,0.757212288,439691,1280,720,1.295719333,0.399151333,3.6857
6.64,73.589,77.47,14.843,71.427,1.331,1.033,3.287,12.83738532,11.38216773,17.30024062,0.783573733,237535,1280,720,1.296611333,0.396314667,3.5429
6.037,68.217,74.209,13.986,65.293,0.841,1.701,3.109,10.25638522,8.646778373,15.20587811,0.930487844,139764,1280,720,1.295927333,0.398560667,2.4
5.173,59.744,64.515,12.636,55.481,0.612,1.806,2.757,7.809999662,6.278348994,10.38551645,0.694123366,87164,1280,720,1.296819333,0.395693333,1.4571
